GeneSymbol	NormalExpr	CancerExpr
LEF1	0.224448714444177	3.84578950624875
CASP2	0.436914930890236	3.86161133790473
TMEM30B	1.0655005499731	3.75150631482231
SCN9A	0.548605087242963	3.19969403991631
CNTFR	0.911238344932882	3.77128393491969
LY6E	1.01139444922418	2.82047319071435
APOBEC3A	0.99446104565801	2.76045803224275
SEMA3C	1.72917327812726	2.61601805758879
TLR8	1.86905716400139	2.32749442679025
TPK1	2.05583193918817	1.92071012874445
FANCG	2.36119204190408	2.17557970447083
CD72	2.42583842292618	2.16856880534128
TBCE	2.88820972807154	1.50791345739739
TREM1	2.66614094517972	1.40786528837899
ATP8B4	2.6975119558542	1.38121328326486
SIRPG	3.0822484677486	1.10665390277472
BTD	3.52756433546904	0.804981615314411
C16orf71	3.52156217751466	0.342334
LARP7	3.77966570241164	0.706972005945456
SH2D4A	4.13221765200228	0.515810697083057
