Gene symbol	B cells naive	T cells CD8	NK cells resting	Monocytes
ABCB4	555.7134486	4.311280198	13.68283856	6.202495893
ABCB9	15.6035437	24.22372293	21.8637228	20.30942573
ACAP1	215.3059512	1055.613378	512.636909	190.8790244
ACHE	15.11794931	13.42828841	16.65373849	16.37526833
ACP5	605.8973843	306.3125193	340.8201368	512.9313823
ADAM28	1943.742699	22.6897181	193.6093922	58.3112027
ADAMDEC1	371.0335929	44.61628687	68.27758592	106.301336
ADAMTS3	146.1955683	42.39041586	31.43526856	54.79707074
ADRB2	486.3438163	899.6485015	1957.53925	664.8839501
AIF1	24.0742984	742.8158187	105.7345527	8655.680002
AIM2	327.9580556	294.4846139	87.22742351	536.1118999
ALOX15	12.23359461	9.774971658	30.17685432	9.800855372
ALOX5	1799.683549	78.68443963	157.0365044	1979.301155
AMPD1	263.7450621	66.1074899	59.1404365	98.2326067
ANGPT4	23.12217296	44.68465936	9.380755775	16.91869965
ANKRD55	284.4126543	141.6981114	83.38527977	126.1078201
APOBEC3A	102.4291739	64.35533705	253.3068151	2415.197908
APOBEC3G	1283.451966	2090.85254	6314.770723	865.7405246
APOL3	222.6275107	1209.122376	1172.693097	1000.826958
APOL6	17.31182151	8.448971352	12.85527177	11.82068745
AQP9	21.34280658	13.67548268	93.46925864	2044.034835
ARHGAP22	34.63556475	45.01409912	82.42753503	54.80800174
ARRB1	15.93115384	19.09130442	57.39670667	440.2370047
ASGR1	40.87013431	12.18880923	10.82390469	976.7071792
ASGR2	30.26095627	29.78023761	29.55398187	1484.961048
ATHL1	367.9599908	806.0999282	570.547141	183.2808703
ATP8B4	123.6149862	69.79360213	612.7580118	219.3440174
ATXN8OS	19.03486997	12.10850879	10.34693112	10.41544387
AZU1	26.08448842	75.49418368	411.6451897	96.50450872
BACH2	4442.146224	716.5762166	478.0988813	52.1091524
BANK1	7633.960182	27.08870144	33.00482498	86.58724759
BARX2	16.2562128	14.68073716	19.02444933	18.15622799
BCL11B	166.5812991	4183.738789	818.2107999	88.02675109
BCL2A1	112.6417383	575.0352025	539.9592883	2261.391134
BCL7A	1097.312303	119.2680253	31.50174882	53.33648066
BEND5	571.2009408	159.6750731	74.64354417	57.98412082
BFSP1	8.615516504	19.66358081	34.61450761	21.37855994
BHLHE41	227.283923	45.2704192	51.53421812	42.84587819
BIRC3	1762.323129	370.9307246	283.6871924	159.952492
BLK	1788.424777	136.3936481	10.05664906	34.13408456
BMP2K	282.3095234	117.76525	107.0425872	350.5910579
BPI	10.46971467	64.13890515	837.2008291	280.0017084
BRAF	2571.803933	178.6931052	298.7194597	264.8782577
BRSK2	10.44585498	10.46220047	18.27029466	11.75864418
BST1	65.21842011	68.85559845	151.4101449	1567.219569
BTNL8	15.22236138	13.49547351	11.54872001	20.1092024
C11orf80	531.8492615	162.5847884	100.49005	85.67243058
C1orf54	41.71079514	244.0295762	162.6593193	395.0230177
C3AR1	131.0995558	218.067024	753.7180287	1337.368233
C5AR1	92.39233333	71.29814039	335.1748215	4237.561451
C5AR2	8.032047496	5.512627066	35.45497764	56.84374943
CA8	17.99617948	13.31718235	14.15699793	14.00907196
CAMP	32.24981999	76.14506063	1655.267194	126.178855
CASP5	16.22879037	20.72194816	35.16192527	120.1766089
CCDC102B	7.52422977	17.7200176	21.31213885	5.674857963
CCL1	9.151450435	10.7845404	11.53343942	11.12331494
CCL13	195.3507704	120.948249	95.02050924	87.08769892
CCL14	70.01715851	71.06446098	67.54459099	105.0702474
CCL17	42.21616032	78.50428281	75.01179342	67.76049878
CCL18	19.93877192	35.31761702	39.1384328	40.68134871
CCL19	78.52160611	77.62297831	109.9231796	115.5525527
CCL20	39.50876033	61.54110043	18.43517451	18.85113165
CCL22	46.07125476	24.03529684	26.9167755	33.117333
CCL23	19.74347261	15.31837372	64.61571582	37.98614378
CCL4	1661.464071	2564.294556	11202.80591	3000.888772
CCL5	19.56849893	11434.94887	17238.65692	102.8425968
CCL7	80.54919503	54.29720304	33.53994623	36.20654238
CCL8	229.3383995	35.05420149	49.61858818	126.7672449
CCND2	299.0433892	682.2085787	1065.420393	196.775837
CCR10	52.98873326	130.744128	81.81890669	68.90758909
CCR2	420.0370653	312.6203444	92.11909435	2908.726283
CCR3	135.0222303	51.21539926	128.2007913	83.4012701
CCR5	98.76355416	992.0442583	578.4832233	489.987509
CCR6	327.4987971	173.0896162	46.43838291	29.59035049
CCR7	3811.326733	5074.201816	672.4665585	165.2353496
CD160	446.1294222	1145.34982	2499.533496	93.85626167
CD180	1502.166724	78.77964471	37.04952547	576.4469199
CD19	7315.689158	132.2416591	90.4860579	164.9026221
CD1A	1294.174017	208.3949257	152.5357864	312.0225877
CD1B	1351.157456	55.67758898	152.9052072	198.2817057
CD1C	1349.225244	44.14189025	36.32319474	526.834127
CD1D	243.5748238	16.92273192	16.24955986	2785.253606
CD1E	53.25152761	52.56295023	53.71078497	91.10615096
CD2	419.4350192	8182.951228	6247.906848	222.357789
CD209	68.81156687	21.6089747	42.60499233	84.17376676
CD22	3293.629651	37.47048645	41.94230156	31.15232509
CD244	59.70898915	623.6947469	1823.542464	828.4298346
CD247	23.66779296	5508.526368	16099.47966	35.27406041
CD27	388.8197482	5506.313911	196.4705551	136.4091916
CD28	170.6541081	527.4027958	77.96041968	79.14901833
CD300A	30.69853755	738.0313132	5340.892712	2187.807203
CD33	25.374709	21.33635265	13.328498	1494.400184
CD37	13247.62405	4472.430176	2090.502205	4508.112105
CD38	588.2648306	318.883456	1418.265485	237.7018615
CD3D	103.2248459	14396.85632	250.8695535	79.18206065
CD3E	1233.172359	5787.182458	461.7145711	225.2808846
CD3G	55.98119171	3348.560467	252.9163802	31.97464945
CD4	138.4573773	164.9509326	81.07568775	3343.906153
CD40	1493.347557	203.0571538	164.1619074	298.5733076
CD40LG	65.37231327	186.4853205	29.30316525	24.75213495
CD5	482.7709118	947.6570017	283.2620394	312.9288878
CD6	75.85653173	1720.140098	623.8033823	90.96996824
CD68	3.286119074	51.10845475	93.83368418	806.3047213
CD69	8246.962733	3798.407191	1781.265844	66.10288756
CD7	15.62904812	2234.707961	1666.682281	20.48373388
CD70	294.6566184	247.6214563	226.6449338	189.6644237
CD72	1434.004736	18.8127059	67.34451995	9.096324111
CD79A	12117.94539	425.4456431	149.4947867	174.974517
CD79B	5975.189254	229.2346632	364.2599841	158.7986952
CD80	131.2576257	73.52859919	163.1921911	148.4294518
CD86	354.7433616	108.8922088	110.1384066	1398.4001
CD8A	564.4780916	9990.737125	959.5951565	203.576442
CD8B	21.53089091	3697.963718	20.09303314	14.49443263
CD96	140.0696821	1718.974851	1629.78438	35.69766875
CDA	7.453474496	10.06514533	98.13957615	1040.419935
CDC25A	14.44417944	9.90420085	13.26647127	14.74858062
CDH12	10.62580967	7.907398998	27.0789387	9.440421022
CDHR1	15.70334805	32.70000097	237.0997067	10.5027912
CDK6	30.69853755	65.1412171	27.05878945	21.06647043
CEACAM3	68.46140597	69.08981156	189.912654	242.1017704
CEACAM8	77.91715796	143.8250498	956.067675	6.650645086
CEMP1	28.85299608	9.51802003	24.7914552	12.41773777
CFP	4.573719127	14.38688428	33.99443636	3702.502521
CHI3L1	9.040054131	13.16060514	344.721706	12.16796964
CHI3L2	574.7325605	362.8779127	322.0390633	200.9927361
CHST15	375.0617962	37.3682688	43.29669296	3334.89402
CHST7	15.2998514	26.28908826	29.82523398	291.0641772
CLC	317.0133169	91.38509289	509.9159527	86.56595204
CLCA3P	17.20651635	10.28448645	4.29075067	2.691185739
CLEC10A	110.2519917	80.05432796	56.08638386	481.4264713
CLEC2D	1012.819733	1510.850313	979.2239401	93.13451585
CLEC4A	270.684059	43.67169279	66.20219764	2802.254283
CLEC7A	148.8556127	86.04241069	143.1492688	6165.953009
CLIC2	8.195551244	6.339831804	24.68882499	103.5590934
CMA1	77.95639785	25.22954469	57.33259038	58.76829357
COL8A2	135.2230196	60.53487072	88.02552084	275.8747733
COLQ	28.85299608	152.7740895	406.5670516	33.83180651
CPA3	786.5967435	147.6958112	458.1363071	135.1465191
CR2	1471.268235	245.2703384	25.27012551	35.1557773
CREB5	30.97425375	12.41011504	13.03890087	360.9106341
CRISP3	27.37818895	3.235495107	164.0262277	5.032005451
CRTAM	54.88908823	1443.48038	261.1619294	212.0416867
CRYBB1	8.51087882	8.78944775	9.40235754	9.396148118
CSF1	22.1078749	22.99418539	21.72047615	24.56893179
CSF2	24.24874392	24.4197256	47.27814858	27.09459243
CSF3R	99.76628743	24.3859179	115.6437107	2331.948628
CST7	29.71165699	5181.597893	11514.68497	63.6732263
CTLA4	19.39158332	19.09265901	11.01469755	18.619765
CTSG	247.7712501	113.3980465	309.0786617	88.12615549
CTSW	16.65790643	4894.215252	6980.778276	16.93731154
CXCL10	761.3944185	157.22658	201.1109308	500.9300164
CXCL11	90.26229276	22.77124293	28.53859717	38.41873667
CXCL13	50.1800947	22.35743472	10.02644064	10.31783604
CXCL3	73.07039801	26.71170482	17.38441257	175.8826199
CXCL5	94.16490321	18.42018765	25.08008077	32.93471403
CXCL9	597.5841917	125.8362376	186.9242102	265.0825127
CXCR1	260.5780432	214.6841388	515.9159844	82.78141165
CXCR2	26.76355546	73.61765642	963.1701029	408.3528365
CXCR5	368.7814351	32.70801147	16.03380756	14.61246054
CXCR6	143.966553	239.577985	175.2851029	89.88376184
CXorf57	39.26542516	102.1724937	54.61125396	8.024895821
CYP27A1	28.17031886	35.11559608	36.91521067	761.5963848
CYP27B1	839.568697	123.385104	95.8119075	96.6530619
DACH1	8.110268958	6.072925338	34.41652414	63.04081707
DAPK2	50.49233083	36.778245	75.19081972	50.3687963
DCSTAMP	38.69538004	45.95452314	39.23336722	100.3959971
DEFA4	364.8313155	580.4081606	3153.504694	108.489886
DENND5B	47.963256	4.937003728	28.75548047	5.019653713
DEPDC5	23.00370479	42.10826584	74.53481103	40.17793365
DGKA	426.967722	2223.016764	393.4296648	300.9545855
DHRS11	53.98997768	88.61812105	61.62409019	46.95962914
DHX58	13.86362993	67.97505932	126.714319	66.42778065
DPEP2	695.4566346	469.0254782	636.0698166	1471.477094
DPP4	19.45168576	686.98687	43.07303297	19.65506451
DSC1	82.26251271	408.664347	21.21931052	18.85006161
DUSP2	13.29827708	4083.939908	494.2129873	404.8953793
EAF2	3181.18246	219.0176307	198.0166857	683.9617628
EBI3	10.50267123	12.21399038	10.01431702	12.4947299
EFNA5	5.427660306	12.03201722	29.85222409	16.87392513
EGR2	122.3401907	35.39583074	155.2354783	466.5929482
ELANE	11.04729816	103.4864778	734.2988939	28.96336488
EMR1	499.0111023	195.8964573	348.0789413	1815.513906
EMR2	145.9766252	43.05953599	174.2285945	1319.424101
EMR3	55.17004911	104.1704046	63.86912529	379.6236682
EPB41	21.98416943	235.3351386	104.9505198	25.10456886
EPHA1	47.02936831	400.0482873	155.7830488	63.80169822
EPN2	46.90834881	31.50834858	31.97660478	32.43586908
ETS1	988.8726693	613.4935899	759.7185652	85.66933558
ETV3	37.98662268	49.08454024	33.20716288	40.95675962
FAIM3	11191.41447	5723.984822	2548.903709	117.871065
FAM124B	21.67016354	14.04816696	20.02563485	29.15950369
FAM174B	117.7226808	94.16937409	40.33600095	39.85052889
FAM198B	9.800664188	4.526894401	23.76109791	515.249292
FAM212B	49.97014577	23.00981627	13.78507742	95.87273144
FAM65B	4719.699579	3376.093302	1586.716996	2428.861545
FASLG	342.8390554	169.2167794	1537.723722	108.383093
FBXL8	7.713639432	91.19310135	12.81344642	43.1055926
